algorithm generator seed numberofsequences sizeofsequences cost scslength timems
dpscs random 2 2 59 bitcost 106 127.289056778
dpscs random 2 2 5 bitcost 7 0.808954238892
dpscs random 2 2 60 bitcost 107 193.029165268
dpscs random 2 2 61 bitcost 110 131.227970123
dpscs random 2 2 62 bitcost 111 181.663036346
dpscs random 2 2 63 bitcost 111 278.68103981
dpscs random 2 2 64 bitcost 115 144.315004349
dpscs random 2 2 65 bitcost 117 169.011831284
dpscs random 2 2 66 bitcost 119 151.906967163
dpscs random 2 2 67 bitcost 122 305.516958237
dpscs random 2 2 68 bitcost 123 100.288152695
dpscs random 2 2 69 bitcost 125 195.035934448
dpscs random 2 2 6 bitcost 9 1.08480453491
dpscs random 2 2 70 bitcost 125 189.270019531
dpscs random 2 2 71 bitcost 128 180.489063263
dpscs random 2 2 72 bitcost 132 130.921125412
dpscs random 2 2 73 bitcost 132 313.465118408
dpscs random 2 2 74 bitcost 133 297.05286026
dpscs random 2 2 75 bitcost 137 262.454032898
dpscs random 2 2 76 bitcost 138 225.604057312
dpscs random 2 2 77 bitcost 141 224.514961243
dpscs random 2 2 78 bitcost 143 234.563112259
dpscs random 2 2 79 bitcost 144 336.833953857
dpscs random 2 2 7 bitcost 10 1.40118598938
dpscs random 2 2 80 bitcost 144 201.251029968
dpscs random 2 2 81 bitcost 147 291.832923889
dpscs random 2 2 82 bitcost 150 206.941843033
dpscs random 2 2 83 bitcost 151 246.378183365
dpscs random 2 2 84 bitcost 153 281.157970428
dpscs random 2 2 85 bitcost 154 201.807022095
dpscs random 2 2 86 bitcost 156 311.581134796
